,Tweet,Class,Encoded_Class
279,چابی بابا ڈیزل خان گیم ضمنی انتخابات تحریک الزام خالی سیٹوں الیکشن لڑے تحریک انصاف مجبورا سپورٹ,P,2
280,نو منتخب امیر جماعت اسلامی ضلع اٹک اقبال خان حلف,P,2
281,نیا لڑکا شاہ اخیر ٹیلنٹ تعریفیں,P,2
282,منڈی بہاؤالدین انڈر ٹری پرائمری سکولاکیسویں صدی جہاں پوری دنیامیں سائنس ٹیکنالوجی کاراج,P,2
283,غذائیں رکھیں سدا جوان,P,2
284,جوانوں حاضری لگانے وقت چکا آفواج پاکستان زندہ باد,P,2
285,دامن حیات رہافردا سرد آگ حالات جل کلیات چٹک شاخوں پہ آبلے غنچوں مہکتوں ہاتھ جل,N,0
286,الھم صلی علی محمد ﷺ,P,2
287,قادریBVسے بولے ڈاکٹر دانتوں کیڑا بتایا ھے بیوی ڈاکٹر آپکو بماری سہی بتائ جگہ غلط بتادی ہنسنا منع الوداع انقلاب,N,0
288,نیلے پاسپورٹ حفاظتی چھتری تلے لوگ,P,2
289,مینار پاکستان تکمیل تحریک پاکستان ایجنڈے کولے ملک بھرمیں تحریک پھیلائیں امیر صوبہ ڈاکٹر وسیم,P,2
290,نھیں ھوگااسکا نوٹس سپر کورٹ خود لینا چاہیے بھت پھلے کوکین گولی نت نئے مزے مدھوشی,N,0
291,ذیاد کدھر ھو بھائی دھائی ھے دھائی قادری ھڈی چڈی کینیڈا گاپھر اگلے سال,P,2
292,کوئٹہدہشتگردی منصوبہ ناکامدھماکا خیز مواد برآمد,P,2
293,ہن تے سردیاں گیی ین لسی ویسے مک جے,P,2
294,تحفظات دور بجائے معطل جاوید نسیم,N,0
295,ملک بھر سردی جھلک دکھلا,N,0
296,جماعت سندھیوں جذبات کھیل مہاجر قابض جبکہ دوسری جماعت مہاجروں جذبات سندھی قابض,N,0
297,دولت زبان ذاکر دل شاکر زن فرمانبردار ھے امام غزالیجس بیوی گھر نوکر سواری ھو بادشاہ ھے مجددالف ثانی,P,2
298,زیر نظر تصویر نوجون قیادت پیچھے جماعت پوری قیادت صحیح اسلامی جمہوریت کہتے تقوی,P,2
299,مشیر عہدے کیلئے لطیف بٹ جگہ خالد محمود,P,2
300,نومنتخب ضلعی ذمہ داران جماعت اسلامی راولپنڈی جنرل سیکرٹری راجہ جواد احمد نائب امراء سجاد احمد عباسی ابو عمیر,P,2
301,لوگو کتاب خزانہ علم چشمے بن روزانہ اللہ روزی مانگو روزی نقصان عمر,P,2
302,ساقی محفل ھم جام اچھالیں گر کچی ملی کام ڈیزل چندے انقلاب,P,2
303,مٹھائی امپائر انگلی کھڑی کھائیں جنریٹر ڈیزل منگوا لوں,P,2
304,مولانا ڈیزل ڈیزل خان شرمناک سفرڈیزل ڈیزل,N,0
305,گھپلا,N,0
306,اسلام آباد پشاور محرم الحرام چاند نظر اگیا اھل اسلام نیا سال مبارک ھو,P,2
307,محرم الحرام چاند نظر آگیا نیا ھجری سال مبارک,P,2
308,اہلی رکنیت معطلی باوجود افس قبضہ قبضہ گروپ سیٹوں چھوڑنے تحریک,N,0
309,تحریک انصاف صدرہاشمی حساس وقت ساتھ چھوڑ خان کوفرق پڑا قادری پڑے تحریک انصاف ممبر,N,0
310,تہمتیں لگتی روشنی خواہش گھر باہر سزا ملتی لوگ لوگ خبر جاناں,P,2
311,دہشت گردی اموات سال زہریلی شراب وجہ دہشت گردی قدرتی آفات گھٹیا شراب غریب مرتا,N,0
312,کینیڈا پارلیمنٹ فائرنگ ویڈیو جاری,N,0
313,دبئی ٹیسٹ پاکستان اوپنرز رنز آؤٹ دبئی ٹیسٹ میچ پاکستان ٹاس جیت آسٹریلیا,N,0
314,حضرت امام حسین صبر شکر توکل رضائے الہی کائنات انسانوں کیلئے علم عرفان مینار,P,2
315,لاہور وائرس مریضوں علاج تربیت جارہی ڈی جی ہیلتھ,P,2
316,قیامت نشانیاں,N,0
317,کھیل کھیلا ہجر جھیلا گزر جاناں سوال موسم,P,2
318,سال انصاف مل گیادہلی عدالت اجتماعی ریپ کیس پانچ قصورواروں عمر قید سزا سنائی,P,2
319,جی دوستوآج کاسوال کیمرہ ایجاد جواب انعام جیتیں,P,2
320,پی ڈائریکٹرز تقرر اجازت کام کررہے,P,2
321,بنوں دوستانہ میچ ڈی پیز شاہد آفریدی الیون جیت,P,2
322,طاہر القادری پاکستان تین مہینے تھاویزے مدت ختم دہرنا ختم اورقادری ملک روانہ,N,0
323,لوگ جنھوں ہندوؤں دیکہا دیکہی کل دیوالی منا ئ یامبارک باددی پوچھنا کہنیکسٹ,P,2
324,منہ توڑ جواب پاگلوں جنگی جنون معصوم لوگوں قتل عام بس کہانی,N,0
325,اجے دیوگن فلم ایکشن جیکسن پہلا پوسٹر جاری,P,2
326,پیار بھرے شرمیلے نین چندے انقلاب,P,2
327,پرواز جاں حائل سانس ٹوٹے پروں دل بستی رونقیں چند اجڑے گھروں,P,2
328,پاکچین سرحدوں نگرانی کیلئے بھارت ڈرون طیارے استعمال فیصلہ روزنامہ اردو پوائنٹ,P,2
329,آروائی اربوں خرچ کرکے اتنی پبلیسٹی حاصل کرسکتاتھاجتنی لوھارراج شاہ لوہا نواز بند کرکے رھے ھیں,N,0
330,دانشمندی وزیر اعظم استعفے مانگتے مانگتے خود استعفی دیدیں تحریک انصاف اسمبلیوں شک استعفے,N,0
331,غلط انسان ریٹ پوچھ پتا ریٹ بتادے اصل ریٹ ٹویٹ سرکار پوچھیے,N,0
332,کہیں فٹ,N,0
333,پاکستان تحریک انصاف 29اکتوبر استعفوں معاملے بات کیلئے اسپیکر قومی اسمبلی پیش فیصلہ,P,2
334,بہترین لوگ بہترین نیت رکھتےھیں وجہ سےرب کاموں سنوار ھےاور کام رب سنوار,P,2
335,دلالوں اصلیت چھپی کل نظام لپیٹنے باتیں آج کھسیانے نظام,N,0
336,ڈیزل ڈیزل کردی آپے ڈیزل,P,2
337,کاخسارہ مار,N,0
338,صحرائے سینا ہنگامی حالت نفاذ مصر حکومت مختلف حملوں فوجیوں ہلاکت,N,0
339,دن مرنے ساری زندگی جینا پڑتا,N,0
340,حضرت عمر زمانہ خلافت جامع مساجد تعداد بارہ ہزار پہنچ چکی از نظام الحکومۃ الاسلامیہ جلد دوم,P,2
341,مریم نواز بحیثیت چیئرپرسن یوتھ لون اسکیم تقرری وفاقی حکومت جواب طلب,N,0
342,اہل نظر رائے نئے صوبوں تقسیم ممکن,P,2
343,ثریااب ٹویٹیں مارے گاڈ,N,0
344,PTI اچھی پالیسی مختلف بہانے کرکے کیس تاخیرمیں ڈالتے عوام معصوم بن کرجھوٹ بولتے ہمیں انصاف مل,P,2
345,برس بہار بصیرت ڈس فکرو نظر جھومتے باغات جل ساغر کٹے کٹے ستارے بجھے بجھے شائد نصیب دن رات جل,N,0
346,حکومت ماروی میمن خسرو بختیار وفاقی وزیر بنارہی جبکہ شاہد خان چئیرمین نادرا بنارہی جسے تحریک,P,2
347,اپ ڈیٹ ٹھیک,P,2
348,ہاہاہا ہزارہ کھڑا حضرت صاب کھڑے رلانے پلان,N,0
349,بھارتی الیکشن کمیشن کامقبوضہ کشمیرمیں نام نہاد انتخابات اعلان نئی دہلیبھارتی الیکشن,N,0
350,ڈآکٹر دانش سوال آر وائی ٹیوٹر اکائونٹ ہیک شخص ٹیوٹ ے,N,0
351,محبت جوانوں ڈیزل پے ڈالتے کمند علامہ عمران اقبال خان,P,2
352,زندگی لہو نام زندگی آرزو ے خام زندگی حسرت بھری فریاد زندگی یاد سوزش درد جگر,N,0
353,مشورہ ھے چندے انقلاب ممکن بنی گالا کنکشن بحال ھوجائے پختون ڈیزل ھی کام چلایے,N,0
354,کمال داستان سنو چھوڑا چھوڑ,N,0
355,پاکستانی قوم جاگ ھے ڈیزل قیمتیں بڑھ,N,0
356,کہنا چاہتے دہشتگردی روکنے کیلئے ضرب عضب آپریشن روکنا,N,0
357,دن دین فہم پیدا دن سارے مولویوں دوکانیں بند بہاگنا پڑ,N,0
358,رونا دل مضبوط ہوجاپھر توڑ سکے زویہ,P,2
359,میٹھی پیا میٹھے,P,2
360,کاجو ذیابطیس مریضوں انتہائی مفید,P,2
361,ایم کیو ایم سندھ حکومت آزاد جموں کشمیر حکومت علیحدگی اعلان ڈاکٹر فاروق ستار,N,0
362,لوگ فرشتوں بنے پھرتے ہتھے چڑھ انساں,P,2
363,صاف چلی شفاف چلی تحریک انصاف چلی,P,2
364,لوگوں دھرنے چندہ مانگنے کنال بنی گالہ گھر پیج دھرنے خرچے پورے,P,2
365,اپ مدعا سمجھے,P,2
366,نیوز سنگدل شخص بیوی بچے فائرنگ کرکے قتل کردیا پاکستان,N,0
367,استیعفی مانگنے چندہ مانگنے آگئے,P,2
368,لاہور شہباز شریف ہزار پرائمری سکولز بند کروادئیے چودھری پرویز الہی,N,0
369,گنجو فوٹو شوٹ,P,2
370,کاش مفتی محمود رات صبر قوم اتنے حادثے بچ جاتیکاش ڈیزل پیدا,N,0
371,ہاتھا پائی اتر لوگ ڈ,N,0
372,ریاست خلافت اسلام محافظ مسلمانوں امور نگہبان ھوتی ھے فرائض ادائیگی ترک ھے,P,2
373,کچی شراب پی قائم علی شاہ شہیدھوگئے پٹواریوں اطلاع شاہ جی چیتا از عصر جلایا,N,0
374,الہی محبوب کل جہاں دل جگر سلام پہنچے نفس نفس درود پہنچے نظر نظر سلام پہنچے صلی اللہ علیہ وسلم,P,2
375,لمحہ فکریہ,N,0
376,حضرت علی رضی اللہ عنہ کہتے رسول اللہ صلی اللہ علیہ وسلم فرمایا مہدی اہل بیت,P,2
377,ڈیزل آنکھیں دھرنا چیخیں,N,0
378,دوبئی ٹیسٹ دن پاکستان آسٹریلیا خلاف بیٹنگ مشکلات شکار میچ پی ٹی وی سپورٹس براہ راست,N,0
379,رسم قل جلد آذادی چوک ادا جاے,P,2
380,اللہ تعالی ہمیں باعلم باعمل بزرگان دین صحبت نصیب فرمائیں اخلاقی تربیت ہوسکے گناہ ارادوں علاج کرسکیں,P,2
381,شکل دلبروں خو ستمگروں لب سکوت دریا آنکھیں سخنوروں,P,2
382,جسٹس منصور علی شاہ ریمارک بتایا عوامی ٹیکسوں حاصل رقم سیاسی مقاصد استعمال سکتی,N,0
383,وادی ہنزہ خواتین کوہ پیمائی اسکول,P,2
384,انٹرنیشنل اسکواش عامر اطلس ٹائٹل حصول محروم,N,0
385,سلسلہ وار پڑھنے,P,2
386,بریکنگ دبئی ٹیسٹ دوسری اننگز یونس خان آسٹریلیا خلاف سنچری مکمل بریکنگ دبئی ٹیسٹ یونس خان,P,2
387,آسٹریلوی ٹیم پاکستان سکور بھی341 رنز پیچھے,P,2
388,میاں صاحب بھارت خلاف بات پٹواری ایٹم بم بنایا,N,0
389,نیوز پاکستان عوامی تحریک سربراہ طاہر القادری بیرون ملک جائینگے,P,2
390,مسلم لیگ پرچم دفن بندہ ڈائیریکٹ جنت جاے جھوٹا آدمی ہاشمی ہاشمی,N,0
391,آج مضمون عنوان بھائی اللہ بھائی بنایا لوگوں,P,2
392,پاکستان جانب انضمام الحق ٹیسٹ کرکٹ سنچریاں,P,2
393,لبرل بنتے اقلیت اکثریت ھوتے ایران عراق شام عمر عثمان عائشہ نام لٹکا,P,2
394,پنجاب ضمنی الیکشن حصہ طاہر القادری سچ ٹی وی,P,2
395,آج دن عاشق نبی لازم اعلان اےبھارت کشمیر کل آج,P,2
396,چندے انقلاب سیاست چھولے کھانے,P,2
397,امریکاویسٹ پام بیچ علاقے بارش نظام زندگی متاثر,N,0
398,جھپٹنا پلٹنا پلٹ جھپٹنا لہو گرم ھے اک بہانہ ڈاکٹر طاھر القادری اسلام آباد دھرنے پورے ملک,N,0
399,پنجاب مزید افراد ڈینگی وائرس شکار,N,0
400,ساے جتنی ھے ملکیت ⁰⁰باقی ھے تجاوزات ھے,P,2
401,اسپورٹس پاکستان پھرین ٹیسٹ جی بی اننگ تی ڈکلیئر کری آسٹریلیا رنسن ٹارگیٹ ڈئی چھڈیو,P,2
402,زندگی پشیماں ڈھونڈتی حیلہ مرے مر,N,0
403,کور کمیٹی اجلاس نومبر دھرنے متعلق بات شیریں مزاری,P,2
404,کرپشن باوجود ترقی کب چکی,N,0
405,سید خود مہاجر خورشید شاہ کیسا سید جسے سید ندامت جاگیردار فخر,N,0
406,لاہور جی پنجاب مشتاق سکھیرا زیر صدارت آر پی کانفرنس,P,2
407,اسلام علیکم اللہ خوش سلامت آمین صبح جمعہ مبارک,P,2
408,ثمینہ صاحبہ خوش آمدید ویلکمجی آیاں نوں فالو یو بیک ایز ریٹرن محبت,P,2
409,مزا درد محبت درد دوا مت,N,0
410,ئی بات ٹھیک ہوجائیں,P,2
411,بھائی زرداری صاحب سیاست بجائے کرپشن بچا,N,0
412,عربی سیکھو عقل پختگی مروت زیادتی پیدا ھے سیدنا عمر فاروق,P,2
413,راولپنڈیاے این ایف نظیر بھٹو انٹر نیشنل ایئر پورٹ اسلام آباد سمیت مختلف شہروں کاروائیاں 6کروڑ روپے,N,0
414,یار کرپشن ایشو اقربا پروری فنڈز ناجائز استعمال تھانہ پٹواری کلچر چیلنجز,N,0
415,بےشک اللہ لوگوں ظلم نہےں لوگ ہیاپنی جانوں ظلم ہےں سورہ یونس,P,2
416,بجلی کٹ لہذا چندہ براے ڈیزل چندہ,N,0
417,عمران خان صاحب 30اور اگست درمیانی شب یقینا یاد انکے رفقاءاور کارکنان جلسے چکے,P,2
418,آج نئی پیپلز پارٹی خبریں گردش,P,2
419,طاہر القادری محرم الحرام یورپ شمالی امریکا دورہ ذرائع قادری پردیسی لگاہے,P,2
420,لیاری گینگ وار اہم کردار شکیل بادشاہ قریبی ساتھی الطاف بابا گرفتارکراچی پولیس لیاری گینگ وارکے اہم,N,0
421,حکومت سیاسی قائدین کوتحفظ ناکام ہوچکی شیریں مزاری,N,0
422,اک پڑی فکر,N,0
423,لاہور سروسز ہسپتال یو قائم کردیا ڈی جی ہیلتھ,P,2
424,مولانافضل الرحمان عورتوں متعلق بات انتہائی شرمناک شیریں مزاری,N,0
425,کل سنا ھے جیو نیوز پہ عمران خان پرانا انٹرویو چلایا جیو معافی مانگنے ھے ویسے فائدہ جیوکا ھے,P,2
426,اصل نیازی مالداری دل نیازی مالداری ھے سیدنا عمر فاروق,P,2
427,شخص غلط فہمی,P,2
428,صحبت اثر صحبت ملنا بہی نصیب بات,P,2
429,بریکنگ سلیم گرفتاری کیلئے لیاری اورکورنگی چھاپے مارے پولیس ذرائع,N,0
430,فیصلہ عوام دا پرویز راٹھور حرام دا سیاسی لطیفے,N,0
431,چاند تارے خوشبو اچھے لگتے,P,2
432,جی ڈی ایل شیئرز سکوک غیر ملکی ادائیگیوں بہتری امید اسلام آبادآئن,P,2
433,حضرت امام حسین رضی اللہ عنہ,P,2
434,دیکوں دیکوں ایا شیر شکاری ایا,N,0
435,مریم نواز یوتھ لون اسکیم چیرپرسن تعیناتی خلاف درخواست ہائیکورٹ سماعت,N,0
436,السلام علیکم باغ آزاد کشمیر ساتھی باکس جزاک اللہ,P,2
437,قادری اعلان دھرنے آخری مناظر چند لمحات تصاویر,P,2
438,کپتان مصباح الحق کہنا کارکردگی مطمئن کینگروز خلاف کامیابی نئے کھلاڑیوں اعتماد ہوگا,P,2
439,چندہ جانور بالوزن سیاسی جانور ہوتاہے فرمودات فریڈرک عمران اینجلز خان,N,0
440,بوٹسوانہاین خامہ دوسری مرتبہ ملک جمہوری صدر منتخب بوٹسوانہ ڈیموکریٹک پارٹی عام انتخابات نشستیں حاصل کیں,P,2
441,دیکھیں بات بالکل درست ھے سڑکیں بلاک طور درست انکا نام ٹویٹر حقیقی زندگی احترام لینا چاھئے,N,0
442,دقیق باریک گتھی اپ سلجھائیں,P,2
443,تحریک انصاف دوست دل کھول برا بھلا کہیں گالیاں وقت ثابت فیصلہ,N,0
444,دل ترستا مراسم ترک تعلق بہانے مانگے,N,0
445,پیار بار ہوگا بار بار ہوگا,P,2
446,پیمرا ایکشن پرزور مذمت آج سانپ سونگھ کراچی اکثر علاقوں نیوز چینلز نشریات بند,N,0
447,آبرو کوچے نکلے,N,0
448,جلسہ ضلع گجرات تاریخ ناقابل فراموش,N,0
449,یورپ کینیڈا امریکہ عوام پیسے زیور سخت حفاظت ورنہ چندے انقلاب,N,0
450,کشمیر صورتحال اقوام متحدہ خاموش سکابھارت سخت جواب,N,0
451,تاریخ سبق سیکھو,P,2
452,دھرنے خاتمے منفی بیان بازی وزیر اعظم ہدایتاسلام آباد وزیر اعظم میاں محمد نواز شریف,N,0
453,گھنٹے,O,1
454,لوگوں دل پیندے برتنوں مانند ھوتے ھیں خواہ کتنی ھی محبتخلوص توجہ خالی,N,0
455,شاہد آفریدی ڈی پیزالیون نمائشی میچ ایس پی آرکو ہرا,N,0
456,سندھ قوم شناخت برقرار الطاف حسین مہاجر نواز شریف پنچابی پی پی سندھی ووٹ بٹورا نتیجہ,P,2
457,گو بلو رانی گو سن بلاول عوام کتے جتنا عزت بہی,N,0
458,بن بلائے آجاتا سوال کرتایہ تیرا خیال آخر خیال,N,0
459,تحریک انصاف استعفوں موقف قائم نظام تبدیلی چاہتے شیریں مزاری,P,2
460,کلاسک ویڈیو گیم شکل بنایا منفرد کیک نیویارک کیک خواہ سالگرہ ہویا,P,2
461,قادری صاحب ڈیل ہرگز,N,0
462,انسان سخت جان بات تصور برداشت حقیقت بن ٹوٹ پڑتی چﭗ چاپ برداشت,N,0
463,ایبولا وائرس ہلاکتوں تعداد ہزار ہوگئی ڈبلیو ایچ,N,0
464,زنجیر مری وحشت برابراک ٹھہرنے,N,0
465,دس روپے کالے بکرے سری مانگیں چندے انقلاب,N,0
466,کاش ڈیزل مولانا بنایا دھرنے قادری جگہ اٹھایا,P,2
467,بطح منہ سوہنا سمجھ,P,2
468,مارڈالے گایہ احساس اجنبی ہوگیا لہجہ اپنوں,N,0
469,پاکستان مسلم لیگ ن انتخابی ترانہ,P,2
470,ڈھائی ارب روپے سگریٹ پھونک مفت پیئے,N,0
471,میاں صاحب پیغام بار ضرور دیکھیں شئیر کنجوسی ویڈیو دیکھیں,N,0
472,طلب پہ عہد وفا آبروئے وفا گئسر عام مدعی ثواب صدق صفا,N,0
473,یکم محرم الحرام یوم فاروق اعظم رضی اللہ عنہ ملک بھر مذہبی عقیدت احترام منایا جاے سیدنا عمر فاروق,P,2
474,سیالکوٹ پاکستانی فورسز بھارتی فائرنگ منہ توڑجواب دیاآئی ایس پی آر,N,0
475,لاہور طاہر القادری ماڈل ٹاون من واقع رہائش گاہ اطراف سیکورٹی الرٹ,N,0
476,دہشتگردی جاں بحق گریڈ ملازمین اہلخانہ لاکھ روپے امداد ملے,N,0
477,آدمی بیٹے سمجھانے شیشے کھڑا پوچھا بیٹا شیشے نظر,O,1
478,یونین آف جرنلسٹس لاعلمی بہترین مثال,N,0
479,اتفاق پرچہ حل کیلئے جارہاہوں بجے پیپر ہء,P,2
480,بالی وڈ اداکارہ ریکھا سپر نانی بن گئیں,P,2
481,زاہد شوخی رندانہ دیکھنارحمت باتوں باتوں بہلا پی گیاسر مستی ازل یاد دنیائے اعتبار ٹھکرا پی,P,2
482,RT زرداری زبان چندے لفظ منہ نکالا ٹوٹ پڑے اسکی اپیل لوگوں سمجھاشاید چندے دیوار چندے,N,0
483,دھرنا ختم عوامی تحریک کارکنان پھوٹ پھوٹ روپڑے,N,0
484,تبدیلی تبدیلی آگئی,P,2
485,دبئی ٹیسٹ کھانے وقفے پاکستان وکٹ رنزاظہر علی یونس خان رنز ناٹ آؤٹ,P,2
486,عمران خان کنٹینرسے نکل کراس چھت پہنچے اورکئی لمحے طاہر القادری کنٹینرکی لوگوں کوسامان باندھتا دیکھتے,P,2
487,اسلام آباد بیٹھے عوام شعور بیدار ڈاکٹر طاہر القادری,P,2
488,تبدیلی ڈول بجانے عملی کام ھے,P,2
489,کہانی الجھی الجھائی عقدہ کھلے گاجب تماشا ختم,N,0
490,گریڈ ملازمین انتقال خاندان لاکھ روپے,N,0
491,خان صاحب شرمناک اندازگفتگو بارے کیاکہیں شیریں صاحبہ,N,0
492,دماغ دلیہ,N,0
493,استعفی باغی جتنی ہمت,N,0
494,بتاو کیسا لگتا ویران رستے انجان رستے ساتھ مل جاناخوشی پھول کھل جانابتاو کیسا,N,0
495,چھاپہ مار ٹیم ٹاپ ٹریٹمنٹ نام قائم فیکٹری سیل کردیا,N,0
496,انل نریندر بچوں جنسی استحصال بڑھتے واقعات باعث تشویش مس,N,0
497,۱۲اگر انسان اللہ کےدرمیان تعلق اصلاح لےتو مخلوق تعلق معاملہ اللہ کافی ہوجاتا,P,2
498,نبہیا چوہدری مبینہ خود کشی ذہنی دبائو نتیجہ قرار,N,0
499,پوتن روس اسرائیل دوستانہ تعلقات نیتن یاہو کردار حد سراہا,P,2
500,شرمناک پراپگینڈامیرا بھائی جامع گجرات پڑھتا رپورٹ,N,0
501,اللہ ذات پاک خوبیوں والیاور تیرا نام برکت والااور شان اونچی سوا معبود <,P,2
502,تحریک انصاف اسمبلیوں استعفے دیدے سیٹیں ن لیگ مولانا فضل الرحمان این پی ایم کیوایم چلی,P,2
503,رسول اللہ صلی اللہ علیہ وسلم سودکھانے وکیل اسکے کاتب گواہ لعنت فرمائی فرمایا سارے برابر مسلم,P,2
504,رو عمران رو قوم حسڈھیٹ غیرت چکی احساس کرپٹ حکمران انکے ساتھ,N,0
505,راؤ روشنی لیول اوپر گیم,N,0
506,مسائل آگاہی شور بہی دل کہول بیان کوئ حل بتاتے ملک سیاست دانوں جاوید چوہدری صاحب,N,0
507,حضرت عمر سعد بن وقاص نام فاروقی حکم نامے لکھا جومال تقسیم بچ قرآن تعلیم حاصل مشاہیر الاسلام,P,2
508,آج پٹواری کہتا اسلام کہتا گھر بھاگ غلط کام انکی آپس شادی کروا دویہ کونسا اسلام,N,0
509,کام,N,0
510,آہٹ جنبش دستک ہوتیہمارے شہر ویراں فرصت موسم,N,0
511,اندازہ ہوجائے بغیر ادھورے لوگ مذاق بنا آپکو ادھورا چھوڑ زویہ,N,0
512,کب چکا ہوائیں,N,0
513,مریم نوازکی یوتھ لون اسکیم چیرپرسن تعیناتیکےخلاف درخواست ہائیکورٹ سماعتمریم نواز تقرری بنیاد گئیجسٹس منصور علی,N,0
514,قرض اتارو ملک سنوارو غریب شلوار اتر قرض مزید بڑھ,N,0
515,پیار چھوڑے نیچا دیکھائے,P,2
516,لڑکی فاقہ کش بدصورت نظر,N,0
517,جان لیوا تہیں خواہشیں ورنہوصل انتظار اچہا تہا,N,0
518,راولپنڈی فتح جنگ وین ٹینکر ٹکر لوگ فوت زخمی جماعت اھلسنت کراچی حضرت عمررضی شھادت موقعے ریلی نکالی,N,0
519,شکریہ مت ضرور وج خان صاحب خیال چاھیے,N,0
520,کینیڈا پارلیمنٹ فائرنگ ویڈیو جاری کینیڈا پولیس پارلیمنٹ حملے ویڈیو جاری,N,0
521,جواب چائے غریب کارکنوں لوٹا سابت قدم ظالموں ظلم بغیر مشورہ دہرنا ختم,N,0
522,ممبر چچا چنگم جانب بلاول کراچی جلسے تقریر زبردست پیروڈی بھابی بھابی,N,0
523,زخم ناسور بن زخم لگانے فراموش ممکن ہوجاتا بات سمجھ زخم اٹھاتا,N,0
524,مرو جیو,N,0
525,اسلام آباد قادری دھرنے آخری رسومات جاری ہیںاس قل 23اکتوبر ایبٹ آباد ہوگااور شہر مزید رسوم ہونگی,N,0
526,سودکھانے وکیل اسکے کاتب گواہ لعنت فرمائی فرمایا سارے برابر ہیںفرمان S A W W,N,0
527,کراچی نیوز چینل بندشایم کیو ایم پاکستان مسلم لیگ زندہ بادپاکستان ملک شہنشاہوں بدمعاشوں,N,0
528,سائنسدانوں حیرت انگیز طلسماتی چھتری ایجاد کرلی via,P,2
529,دنیائے حادثات اک درد ناک گیتدنیا حادثات گھبرا پی گیاکانٹے خیر کانٹے گلہ کیاپھولوں واردات گھبرا پی,N,0
530,چکے ھو ہجرت کمال ھو,P,2
531,شیو ٹویٹ بغیر ٹائپو ڈ,N,0
532,کہیں پڑھا جمیعت علما پاکستان بریلوی فقہ علما یاد ٹھیک,N,0
533,وچ داڑھی اسلام کوئیبن عملاں قرآن کوئیجے مکراں باز آؤے ملاں جیہا ایمان کوئیجے گر پا دیوے,N,0
534,عمر نام لیوا نصب العین حق کوشی باطل سر خم سیدنا عمر فاروق,N,0
535,لاہور سعد اختر بھروانہ ڈی جی ٹریننگ تعیناتنوٹی فکیشن جاری,P,2
536,آقا صلی اللہ علیہ آلہ وسلم صحابہ صحبت وجہ اتنے پختہ ایمان یقین تہے مرشد عکس تہا,P,2
537,دبئی ٹیسٹ پاکستان خلاف آسٹریلیا آٹھویں وکٹ رنز گر,N,0
538,ن لیگ پارٹی جوضیاکی بندوق زور پہ وبائی مرض پہیلیجبکہتحریک انصاف آہستہ آہستہ خوشبو اثر دکھا,N,0
539,گاڑی نمبر ڈیزل چور ھے چندے انقلاب,N,0
540,پراٹھے مچھلی چائے عمران خان ساتھ,P,2
541,کتاب دستک انتساب زندگی رشتوں نام عجیب ھیں غریب محبت اذیت نایاب,P,2
542,جلسے ناکامی غصہ جیو نیوز نمائیندے اسکا کیمرہ توڑ نکالا خان جی حقیقت چھپا نھی سکتے,N,0
543,بلوچستان جنگلی کتوں آزاد چھوڑنے وزیر اعلی کہتے حالات خراب غیرملکی ہاتھ شامل,N,0
544,قادری انکل کفن سلوایا نواز حکومت کہاں,N,0
545,کیمیا پڑھ پڑھ تنگ آچکی,N,0
546,لوہا نائلون پرانا پلاسٹک ٹین ڈبے پتریاں گراریاں پرانے ٹائر ٹیوب چیزیں چندے انقلاب کافی مددگار سک,N,0
547,انقلاب طعنے مارے شھید کردو,N,0
548,ہمیں آج پتا لعنتی ابو لولو فیروز مزار ایران حیرت,N,0
549,شاہد آفریدی الیون ڈی پیز الیون ہرا,N,0
550,شکریہ مٹھائی کھانی,P,2
551,مسلمانوں نیا اسلامی سال مبارک دعا اللہ تعالی مسلمانوں کرم رحمتیں برکتیں نعمتیں نازل فرمائیں آمین ثم آمین,P,2
552,اسلام آباد دھرنوں موزوں امیروں شہر ریڑھی غریبوں خرچہ نکل,N,0
553,برازیل بصارت محروم خواتین ڈانس اسکول کھول گیاجن مہارت داد بغیر,N,0
554,نیا بلاگ کب پوسٹ,P,2
555,بجھی بجھی شام شعر یاراں,N,0
556,عدالت چالان موصول ملزمان خلاف ٹرائل شروع,N,0
557,چلو دیر ہنستے محبت پرعنایت پرکہ بنیاد باتیں سبھی رشتے سبھی ناتے ضرورت یجادیں کہیں مرتاکسی واسطے جاناں,N,0
558,اللہ اکبر مولانا جی بات ھے,P,2
559,جمعہ مبارک دعا یاد رکھیں شکریہ,P,2
560,تحریک انصاف عوامی تحریک سوشل میڈیاوار کمزور گیدشمن موقعمت تبدیلی متحد,N,0
561,پیپلز پارٹی حکومتی تعلقات ختم کررہے فاروق ستار,N,0
562,بلائنڈڈولفن واپس دریائے سندھ چھوڑ,N,0
563,ملا اذاں مجاھدکی اذاں ملک زیشان اشرف جانب شاندار کمنٹ,N,0
564,س ٹیسٹ امپائرز انگلینڈ کیٹل برو جنوبی افریقہ ایراسمس سری لنکا رنجن مدوگالے میچ ریفری,O,1
565,کراچی بیشتر علاقوں نیوز چینلز نشریات بند,N,0
566,ایم کیو ایم منانے کوشش کیرحمان ملکگویا بار خود ذلیل واپس جاویں طاھرکینیڈوی ذلیل رسوا,N,0
567,دھرنا ختم عوامی تحریک کارکن رو پڑے خبر لوگ شئیر دن رات,N,0
568,دبئی ٹیسٹ میچ پاکستان بیٹنگ,O,1
569,لطف عطا ہجر وصال تھامرے موسموں مزاج داں کتنا خیال تھاکسی چہرے,P,2
